developerResponse,userName,title,date,rating,review,isEdited,app_name,app_id
"{'id': 20895482, 'body': 'Hallo PY.DHL, am besten richten Sie Ihre Anfrage direkt an das FordPass Team. Sie können uns via E-Mail, per Telefon oder über unseren Chat erreichen. In Ihrer FordPass App im Menüpunkt ""Assistent"" gibt es den jeweiligen Button dafür. Sie erreichen uns auch unter unserer E-Mail-Adresse: ""fpdeu@ford.com"". Ihr FordPass Team.\r\n', 'modified': '2021-02-06T12:34:48Z'}",PY.DHL,Lustige Spielerei,2019-04-10 08:16:19,4,"Die App läuft nach einigen Tagen Anlauf stabil, alle Funktionen sind verfügbar. 
Für meine Daten bekomme ich in dieser App eine Menge Spielerei, für deren tieferen Sinn mir allerdings die Fantasie fehlt: in welcher Situation könnte es zum Beispiel interessant sein, den Motor von der App aus zu starten? 
Daher gibt es den fünften Stern erst von mir, wenn ich aus der Ferne Schiebedach und Fenster bedienen kann! 
Diese Funktion (bei meinem vorherigen Fahrzeug über den Schlüssel mit erstaunlicher Reichweite zu bedienen) fehlt mir an meinem Focus. Ich könnte damit an warmen Tagen schon vom Büro aus lüften, bevor ich in das sonst überhitzte Auto klettern muss.",False,fordpass,1141464928
"{'id': 4778263, 'body': 'Hallo DJ KnK, vielen Dank für die positive Rückmeldung. Es freut uns wirklich zuhören, dass Sie mit der App zufrieden sind. Wir hoffen, mit neuen Features die App noch attraktiver für unsere Kunden zumachen. Liebe Grüße. AM.', 'modified': '2018-08-23T08:36:23Z'}",DJ KnK,Nach Neuinstallation geht es wieder,2018-08-17 05:06:03,5,"Ist die erste App die ich nach einem Update erst einmal löschen und dann neu installieren musste damit sie läuft. Jetzt aber ist die neue Version 5 Sterne wert. Übersichtlich, hilfreich, sehr gute Funktionen wie Parkplatzsuche, Tankstellen etc. Leider hat mein Cmax BJ2015 nur Sync 2, so dass ich viele Funktionen nicht direkt nutzen kann, da kann die App aber ja nichts für.",False,fordpass,1141464928
"{'id': 5260866, 'body': 'Hallo Marossi2015, \ndanke für Ihr Feedback. Es tut uns leid, dass Sie Schwierigkeiten bei der Anmeldung in der FordPass-App haben. Wir werden Ihr Feedback an unser Entwicklungsteam weitergeben. Bitte versuchen Sie sich erneut anzumelden, da es vor Kurzem eine technische Schwierigkeit gab, die eventuell die Schwierigkeiten bei der Anmeldung verursacht hat. Danke, MA.', 'modified': '2018-09-27T12:36:22Z'}",Marossi2015,Car Sharing App,2018-09-15 14:54:48,5,"Leider komplett unübersichtliche Carsharing App, schade. Nur allein das Anmelden ist ja eine Katastrophe, Benutzername? Kundennr? Mailadresse? Alle Begriffe werden durcheinander geschmissen. Muss man sich wieder neu anmelden? Vierstelliges Passwort erhalten, beim Anmelden wieder ein anderes Passwort? Fragezeichen über Fragezeichen. Ich melde mich dann doch  lieber mit dem IPad über das Internet an. Die andern Funktionen kann ich nicht beurteilen. Ich hoffe, dass diese Fehler behoben werden, denn ich würde schon ganz gern diese App mit meinem IPhone für das Carsharing nutzen. Naja, aber vielleicht möchte Ford lieber Pkw‘s verkaufen, als Carsharing - Kunden zu begeistern. 😀",False,fordpass,1141464928
"{'id': 19909633, 'body': 'Hallo FrankSteffi, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2020-12-21T17:38:24Z'}",FrankSteffi,Gut aber nicht rund,2020-12-18 05:17:22,3,"Die App Ansicht ist gut und übersichtlich gestaltet. Nützliche Features sind an Board.
Einige Kleinigkeiten sollten aber nochmal überarbeitet werden. Die Aufzeichnungen der Fahrten ist eine tolle Sache die aber teilweise nicht  richtig funktioniert. Seit dem letzten Update aber schon besser geworden ist. Teilweise werden aber immer noch „querfeld-ein“ Strecken aufgezeichnet, also da wo man in einem Bogen fährt, zeigt er quer den fahrt strich, wenn man also in einem Bogen um z.B. Häuser fahren würde, zeichnet die App das so, als ob man direkt durch besagte Häuser gefahren wäre.
Einblick in die Fahrweise: was die App als starke Beschleunigung definiert oder abrupt bremsen ist nicht logisch. 
Was auch nicht geht, sein Kennzeichen eingeben, die App sagt immer gespeichert nach Eingabe, angezeigt wird aber nichts. Und unter Fahrzeug Daten sollten doch auch Fahrzeug Daten zu sehen sein, oder? Z.B. wie eine kleine zulassungsbescheinigung mit Daten zum Fahrzeug wie kw/PS, Anhängelast, Gewicht, etc. Also Daten zum Fahrzeug halt.",False,fordpass,1141464928
"{'id': 18075765, 'body': 'Hallo MiMö , es tut uns leid, dass Sie Schwierigkeiten mit  dem Standort haben. Haben Sie bereits schon die die neue FordPass Version 3.9.0 ausprobiert? Andernfalls wenden Sie sich über die Schaltfläche ""Assistent"" oder FPDEU@ford.com an unser Support-Team, das Ihnen gerne weiterhelfen wird. Mit freundlichen Grüßen Ihr FordPass Team', 'modified': '2020-09-30T14:39:51Z'}",MiMö,Warum wird eine beim Kauf des Fahrzeugs beworbene Funktion einfach abgeschaltet?,2020-09-30 14:39:50,5,"Seit dem letzten Update zeigt die App die aktuelle Position des Fahrzeugs nicht mehr an. Dies wurde aber beim Kauf noch beworben und hat auch immer funktioniert. Sollte dies tatsächlich so bleiben, dann ist dies eindeutig eine Wertminderung meines Fahrzeugs. Das ist ein Wenig, wie Ford sich mir in den letzten Monaten darstellt.

Update: Seit Version 3.9.0 funktioniert auch die aktuelle Position wieder. Danke!!",True,fordpass,1141464928
"{'id': 26556431, 'body': 'Hallo 0815MSMK, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2021-11-30T10:26:28Z'}",0815MSMK,Eigentlich super App….,2021-11-28 20:20:37,5,"Hallo ihr Entwickler, leider gibt es immer noch nicht die Möglichkeit die Standheizung per App zu starten bzw. zu Programmierer!!! Ist das den so ein Problem diese Funktion mit zu intrigieren, jeder andere Hersteller bietet dieses in seinem App mit an…. Wir sind gerne im Winterurlaub und kennen es eigentlich den Wagen vom Berg über das App vorzuheizen per Standzeitung, da die Fernbedienung leider nicht diese Reichweite hat, wäre nur der Fernstart ohne Aufsicht möglich! Wird es diese Option in der nächsten Zeit geben das man die Standheizung starten und Programmieren kann per App? Mit freundlichen Grüßen Der Benutzer",False,fordpass,1141464928
"{'id': 4596282, 'body': 'Hallo Daniel,es freut uns dieses zu hören! Jedes Feedback – ob positiv oder negativ – hilft uns die App für unsere Kunden benutzerfreundlicher und besser zu gestalten. Vielen Dank. Liebe Grüße. AM', 'modified': '2018-08-09T14:10:11Z'}",DanielBrandt,Update hat viel verbessert,2018-05-23 09:49:46,5,"Das Update hat der App gut getan. Ich fand das alte Interface zwar nicht schlecht, aber das neue ist echt besser. Toll ist aber dass Auto Daten wie Tankfüllung, km Stand usw nun aber auch „ausgelesen werden ohne die App immer extra zu starten. Das ging vorher bei meinem Sync 3 Kuga nicht. Voraussetzung ist natürlich die Verbindung per Kabel und App Sync Aktivierung. Da ich aber immer Waze nutze, das ja nun auch per App Sync läuft ist das prima!",False,fordpass,1141464928
"{'id': 19324746, 'body': 'Hallo Biblos40, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2020-12-12T07:02:06Z'}",Biblos40,Nach kompletter Neuinstallation wieder alle Funktionen,2020-12-12 07:02:06,5,"Nachtrag: Nach denn ich mich in meiner letzten Rezension furchtbar ausgereicht habe, weil keine Funktion mehr möglich war, mit ich bin meine Aussage revidieren.

Habe mein Auto aus der App entfernt und App gelöscht. Nun alles wieder neu ausgesetzt, Auto connected .... und sehe da -voila!- alles funktioniert wieder. 

Alles bestens. Vielleicht hilft es bei einigen von euch weiter? (iPhone 11 Pro)",True,fordpass,1141464928
"{'id': 13196039, 'body': 'Hallo Nightrider0808, toll das Dir die FordPass App so gefällt. Weiterhin viel Spaß mit der App und deinem Fahrzeug. Dein FordPass Team', 'modified': '2020-01-30T08:34:17Z'}",Nightrider0808,Besser gehts nicht,2020-01-29 12:54:31,5,Eine sehr tolle Sache mit der App . Sehr übersichtlich ist diese aufgebaut .,False,fordpass,1141464928
"{'id': 6497263, 'body': 'Lieber FordPass-User, danke für Ihr Feedback! Es tut uns leid, dass es nicht möglich war, die Fahrgestellnummer in der App hinzuzufügen. Bitte melden Sie sich bei uns, sodass wir uns dies anschauen können. Danke! Viele Grüße, JB', 'modified': '2018-12-21T09:26:12Z'}",krankertobak,Fahrzeug hinzufügen - Fehler,2018-12-20 23:17:02,5,"Leider kann ich bei zwar die Fahrgestellnummer eingeben, aber beim hinterlegen hängt sich die App zum wiederholten Mal auf. Habe schon zwei bei zwei anderen Nutzern von Schwierigkeiten gehört; dort war der Button „Fahrzeug hinzufügen“ nicht anwählbar.
Grundsätzlich eine gute Idee mit Potenzial.",False,fordpass,1141464928
