review,title,rating,developerResponse,userName,date,isEdited,app_name,app_id
"Leider ist diese App viel umständlicher und einige Informationen fehlen komplett. Für Leute mit einem Auto mag es noch gehen. Hat jemand mehrere Autos in seiner Garage ist das Umschalten zwischen den Autos extrem schlecht geworden, bei der me App genügte ein Klick zur Fahrzeug Auswahl nun muss man mindestens 5 mal irgendwo hintippen. Das ist extrem ätzend. Die Garantie Anzeige ist verschwunden sowie andere Infos auch. Einen kompletten übersichtlichen Fahrzeugstatus gibt es nicht meht dieser muss nun in verschiedenen Untermenüs zusammen gesucht werden. Ich frage mich was an dieser App besser sein soll? Die me App lief exzellent und was übersichtlich. Die Übersichtlichkeit und die Funktionalität haben hier gelitten Funktionen und Informationen weggefallen, dazugekommen ist nur Werbung oder Infos zu weiteren Apps. Also anstelle einer Zusammenführung von Apps gibt es nun 3 Apps? Store und Service separat in anderen Apps?  Für mich unlogisch und nicht besser.",Nicht verbessert eher verschlechtert,5,"{'id': 16973908, 'body': 'Danke für dein ausführliches Feedback, Axantoonya! Gute Nachrichten: das Update auf Version 1.3.1 ist soeben erschienen. Darin enthalten sind Bugfixes und weitere Leistungsverbesserungen. Mit der Aufteilung in drei separate, jedoch untereinander verknüpfte Apps wollen wir die Übersicht, Flexibilität und die Geschwindigkeit verbessern. Wir freuen uns auf weiteres Feedback, wenn du dich eingewöhnt hast. Viele Grüße! 😊', 'modified': '2020-07-30T08:37:30Z'}",Axantoonya,2020-07-29 23:55:31,False,mercedes-me,1487652920
"Liebes Mercedes-Team, vorab möchte mich für die tolle App und eure Entwicklungsarbeit bedanken. Es gibt sehr viele hilfreiche Funktionen, wie das Öffnen/Schließen der Fenster oder das Ver-und Entriegeln des Fahrzeugs. Auch die Infos zum Akkustand und die Meldung nach vollständiger Ladung sind für mich sinnvolle und regelmäßig genutzt Funktionen. Die aus meiner Sicht wichtigste von allen ist jedoch die Vorklimatisierung, bei welcher es jedoch ständig Probleme gibt. Mein Fahrzeug steht im Freien und hat beste Netzabdeckung. Dennoch schlagen 2 von 3 Versuchen bzgl. der Aktivierung der Vorklimatisierung fehl, völlig losgelöst, ob das Fahrzeug am Strom hängt oder aufgeladen ohne Stromversorgung steht. Laut diversen Foren ist das Problem wohl doch stärker verbreitet und taucht nicht nur bei mir auf. Wenn ihr das in den Griff bekommt, gibt es auch die vollen 5 Sterne.",Vorklimatisierung,5,"{'id': 22827083, 'body': 'Danke für dein Feedback, !MI1979! Wir arbeiten weiter unter Hochdruck an verschiedenen Verbesserungen, auch die Vorklimatisierung betreffend. Bitte entschuldige die Unannehmlichkeiten. Viele Grüße!', 'modified': '2021-05-16T06:48:36Z'}",!MI1979!,2021-05-13 17:02:26,False,mercedes-me,1487652920
"Seit Tagen ist kein Einloggen über die Serviceportal  App mehr möglich. Keiner konnte mir bisher weiterhelfen. Man zahlt extrem viel Geld für alles und nichts funktioniert richtig. Wenn man bei den App Machern anrufen will , dauert es Wochenweise bis man erst mal die Eingangsbestätigung erhält. Ich beruhe zu tiefst wieder ein Mercedes gekauft zu haben. Das ist das zweite Auto infolge als junger Stern das nach einer Ummeldung auf einen neuen Eigentümer Diverse Fehler passieren. Scheinbar werden Abläufe der Autohäuser nicht stimmig übermittelt. Ich werde mich jetzt an die Geschäftsführung von Daimler wenden ob das das neue Ziel 2021 ist seine Käufer immer mehr zu verärgern. Das einzige was wirklich geht ist die App zum steuern der Funktion der PKW. Aber die Serviecedaten nicht abrufbar. Danke für den tollen Service ohne Funktion.
Ich danke aber wenigsten der schnellen Info aber der Fehler ist damit nicht weg .",Nur noch schlechter Service,5,"{'id': 20902547, 'body': 'Hallo Lutz und danke für dein Feedback. Wir entschuldigen uns in aller Form für die bisherigen Umstände. Bitte bleibe telefonisch mit unserem Support in Kontakt und erwähne dort gerne auch die Unstimmigkeiten zur Fahrzeugübernahme. Versuche auch einmal einen sogenannten Soft Reset deines iPhone (Vollständiger Neustart) in Bezug auf die Mercedes me Service App. Sei versichert, dass wir alles tun, um jedem unserer Kunden das beste Erlebnis zu bieten - selbstverständlich auch mit unseren digitalen Diensten. Viele Grüße! ', 'modified': '2021-02-07T08:02:36Z'}",Lutz Hellmann,2021-02-04 15:33:33,False,mercedes-me,1487652920
"Gegenüber der alten App ein echter Fortschritt. Das Design ist ansprechend und auf den ersten Blick hat alles funktioniert wie es soll. Dankeschön liebe App-Entwickler. Zwei Anregungen habe ich:
1) Acht statt 5 Favoriten anzeigen - geht ohne Probleme, wenn das Bild etwas kleiner ist (wie mein Auto aussieht, weiss ich wohl) bzw. KM-Stand und Reichweite in der Anzeige optimiert werden. 
2) Standheizung sollte auch zu starten sein, wenn der Kraftstoff auf Reserve ist. Da kann ich locker 100 km fahren und ich will doch nur mit vorgeheiztem Auto zur Tankstelle 5 km weiter fahren. Ggf. ein Warnhinweise wäre auch genug, statt mich komplett zu entmündigen.",Gelungenes Design und gute Funktionalität,5,"{'id': 16951787, 'body': 'Ist notiert. Herzlichen Dank für dein Feedback, Superdirk2! 😊👍', 'modified': '2020-07-29T09:45:26Z'}",Superdirk2,2020-07-28 21:13:46,False,mercedes-me,1487652920
"Was nützen die tollen neuen Funktionen denn, wenn sie nicht funktionieren? Wenn ich die App aufrufe, möchte ich den aktuellen Zustand sehen und nicht den Status von vor 21 Stunden. Fenster und Schiebedach mit der App öffnen funktioniert wegen angeblich schlechter Netzverbindung nicht, obwohl ich mitten in der Stadt stehe. Leider ist die alte App nicht mehr verfügbar. Was mich am meisten stört, dass ich die Vorklimatisierung nicht mehr mit dem Smartphone starten kann. 😬
Der Bitte, sich mit den Entwicklern per Telefon in Verbindung zu setzen, habe ich versucht, nachzukommen. Nach einer halben Stunde in der Warteschleife habe ich aufgegeben. Service geht anders.",Verbindung zum Fahrzeug klappt nur sporadisch,5,"{'id': 18046170, 'body': 'Hallo Stoneeagle, gibt es vielleicht schon neues Feedback zur App von dir? Wir würden uns freuen, von dir zu hören. Viele Grüße!', 'modified': '2020-09-23T09:07:22Z'}",Stoneeagle,2020-08-03 15:37:05,False,mercedes-me,1487652920
"Ich finde die neue App ist eher ein Rückschritt als eine Verbesserung, die Aktualisierung dauert ewig lange, bei der Ortungsfunktion wird das Auto zu Hause angezeigt obwohl es schon seit Stunden auf der Arbeit steht, Fenster werden als offen angezeigt obwohl sie geschlossen sind und die Meldung das das Fahrzeug entriegelt ist kommt (wenn überhaupt) Stunden verspätet (da kann man auch auf diese Funktion verzichten) Über Design kann man bekanntlich Streiten aber ich fand die alte App wesentlich schöner und Übersichtlicher. Liebe Entwickler, da habt ihr noch eine Menge Arbeit!!!",Mindestens ein Schritt zurück als nach vorn!,5,"{'id': 17233620, 'body': 'Der nehmen wir uns gerne an, Kasi607! 😊 Wir bedanken uns für dein Feedback und bitten um Entschuldigung für die aktuellen Verzögerungen bei der Datenübertragung. Viele Grüße!', 'modified': '2020-08-12T09:17:05Z'}",Kasi607,2020-08-11 19:09:41,False,mercedes-me,1487652920
"Ich bin froh, dass es endlich eine App für mein iPad Pro und mein iPad Mini gibt, die funktioniert. Nach erster Funktionsprüfung, funktioniert alles tadellos. Die Fenster lassen sich öffnen / schließen, das Fahrzeug öffnen bzw wieder verriegeln, der Standort wird metergenau angezeigt und das Fahrzeug aktiviert das Licht um es leichter zu finden. Die Fahrzeugdaten der App stimmen mit den angezeigten Daten im Fahrzeug überein. Bis jetzt alles super. 

Das kleine Manko, dass sich das Nutzerprofil (Profilbild) sich nicht mit dem Fahrzeug (Baureihe C118) synchronisiert liegt sicherlich nicht an der App und bedarf einem Update im Fahrzeug beim nächsten Servicetermin...",Sehr schön,5,"{'id': 16924647, 'body': 'Das nächste Update steht schon in den Startlöchern, BerlinFrischi. Herzlichen Dank für das tolle Feedback! 😊👍😍', 'modified': '2020-07-28T10:26:35Z'}",BerlinFrischi,2020-07-27 20:35:23,False,mercedes-me,1487652920
"Mir gefällt die App sehr gutbürgerlich auch schon einige neue Funktionen entdeckt.
Ich habe selbst zwei Fahrzeuge und das neuere (MBUX) hat auch deutlich mehr Funktionen (Fenster öffnen, Geofence endlich in der native App, Personalisierung in der App statt nur im Web). 
Finde es schade, dass die 1-Sterne Bewertungen tw. völlig falsche Tatsachen widerspiegeln (keine zwei Fahzeuge, keine neuen Funktionen)
Ich bin auf jeden Fall gespannt auf weitere neue Features und wünsche dabei viel Erfolg!",Bin gespannt auf weitere Funktionen,5,"{'id': 16972150, 'body': 'Herzlichen Dank, Sven! 😍👍', 'modified': '2020-07-30T07:40:55Z'}",Sven-Auke,2020-07-29 16:02:13,False,mercedes-me,1487652920
"Sehr gelungene App mit übersichtlichen Design. Ab & an dauert die Aktualisierung aber nichts weltbewegendes. An sich sehr zufrieden.
Eine Frage hätte ich jedoch. Die Kamera in der Windschutzscheibe, welche einem zeigt ob die Ampel grün wird kann nicht als Dashcam genutzt werden. Weshalb? Ich kann die gleiche Kamera als Dashcam kaufen & dann nutzen. Mal abgesehen davon, dass es rausgeschmissenes Geld wäre, da die Kamera ja schon verbaut ist, wäre auch immer weniger von der Windschutzscheibe zu sehen da noch eine Kamera ziemlich viel Platz wegnehmen würde. Ich würde mich über eine Antwort diesbezüglich freuen & bedanke mich vorab.",Sehr gelungene App mit einer Frage..,5,"{'id': 25542147, 'body': 'Hallo Hira kilon, melde dich zur genauen Überprüfung der Möglichkeiten einmal telefonisch unter der 00800 9 777 7777 (Bitte Fahrzeugschein bereithalten). Je nach Anrufvolumen kann es leider zu gewissen Wartezeiten kommen. Viele Grüße!', 'modified': '2021-10-07T07:07:07Z'}",Hira kilon,2021-10-05 10:06:42,False,mercedes-me,1487652920
"Leider muss ich zu meinem Leidwesen fest dass die Aktualisierung vom Fahrzeug nicht mehr funktioniert. So lässt sich die Vorklimatisierung zwar ein aber nicht mehr ausschalten mit dem Hinweis auf fehlendes Internet. Bitte prüfen sie ihre Internetverbindung ist die ständige Ansage obwohl eine Gigabyte Leitung vorhanden ist und auch funktioniert. Aktualisierung vor 13 Stunden, an dem Ort an dem Fahrzeug steht ist die Geschichte des Netzwerks bei 100Mb. Durch Neuinstallation der App funktioniert alles wieder,  aber nur einmal. Dieses Problem taucht immer wieder auf und konnte auch von der Services Werkstatt nicht behoben werden. Ich bin langsam nicht mehr sicher ob der Kauf des Fahrzeuges richtig war denn wenn es bei so einer Kleinigkeit schon so hapert wie sieht es dann beim Auto aus wenn es einen Schaden gibt.",Nicht wirklich gut,4,"{'id': 26513361, 'body': 'Bitte entschuldige, panne 120! Melde dich zur genauen Überprüfung einmal telefonisch unter der 00800 9 777 7777 . Je nach Anrufvolumen kann es leider zu gewissen Wartezeiten kommen. Viele Grüße!', 'modified': '2021-11-28T09:35:57Z'}",panne 120,2021-11-26 19:16:04,False,mercedes-me,1487652920
