userName,rating,date,isEdited,title,review,app_name,app_id,developerResponse
sciobica,5,2022-01-31 13:20:50,False,Übersichtlich,Übersichtlich mit den nötigen Funktionen,my-bmw,1519034860,
Me0345,3,2021-04-18 09:19:05,False,Leider nicht besser...,"...im Gegenteil! Manchmal frage ich mich echt, weshalb UX-Designer es immer wieder hinbekommen, Dinge eher zu verschlimmbessern?! Wie kann es denn sein, dass Funktionen und Übersichten genommen werden, statt evtl. neue Features lediglich zu addieren. (Ja, das Design ist nunmehr subjektiv zu bewerten.) Dann wäre es für mich ökonomisch, als Unternehmen Geld für eine neue App in die Hand zu nehmen. Aber gut. Wie zuvor beantwortet wurde, bedeutet nun „ALL GOOD“, dass alles am Fahrzeug wohl geschlossen und OK wäre. Nichtsdestotrotz wäre es evtl. schon sinnvoll weiterhin aufzuzeigen, dass alle (inkl. möglichem Schiebedach) Türen und Fenster (einzeln aufgeführt) verschlossen sind. Bei der Kontroll-Übersicht fehlt mir persönlich der Reifendruck (siehe alte App). Auch finde ich es persönlich misslungen, dass ich erst durch Zufall über hin und her „Wischerei“ herausfinden muss, dass ich ja doch über eine Remote History Übersicht verfüge. Wie spannend! Also, intuitive und für den End-User auf den ersten Blick ersichtliche Funktionen darzubieten, geht eigentlich besser. Immerhin assoziiert man im UX-Design eine benutzerfreundliche Oberfläche damit, wie oft man irgendwo tappen und klicken muss, um ans Ziel zu kommen. Also, lieber doch noch einmal eine Kundenumfrage machen und Meinungen einholen...und dann verbessern. ;)",my-bmw,1519034860,
www.film.de,5,2021-04-22 06:13:05,False,Nichts Neues und einiges schlechter,"Diese App ist leider schlechter als die BMW Connected. Ich verstehe nicht warum man eine App heraus bringt, die weniger kann als der Vorgänger. Ich bekomme beim Remote Service kein ordentliches Feedback mehr ob es geklappt hat z.B. die Standheizung zu aktivieren. Ich habe keine Verlaufsliste der letzten Ereignisse mehr. Wenn ich auf den Button „gebuchte Dienste“ klicke, dann öffnet sich die BMW Seite, auf der ich mich tatsächlich erneut anmelden soll. Echt jetzt? Es ist 2021 und BMW bekommt nicht einmal einen Single Sign On hin? Das ist mager... Bitte steckt doch weniger ins Marketing und mehr in die UX und gerne auch in das UI - Das wäre letzten Endes das bessere Marketing, weil es Nachhaltig wäre. Dieser Punkt geht derzeit leider noch an Tesla. Und ich wünschte wirklich es wäre nicht so.",my-bmw,1519034860,
RngN48,4,2020-12-09 17:29:53,False,Interessanter neuer Versuch,"Optisch etwas aufgefrischt und mit neuen Möglichkeiten, werde ich die alte App trotzdem nicht löschen/ die weiter bevorzugen. Warum? 1.) die neue hat keine Anbindung an die Apple Watch. Die Alte schon. 2.) mein Verbrauch wird nicht mehr angezeigt. In der alten schon! 3.) in der Alten wird unter meinem Profil meine BMW Kundenkarte angezeigt. Bei der neuen nicht. Sollten all diese Sachen noch Einzug in die neue App nehmen, würde die Alte Geschichte sein. Weiter Frage: kommen noch weiter Drittanbieterprogramme hinzu, oder bleibt Alexa alleine? 
Bitte mal bei der Konkurrenz in die App schauen und das ein oder andere Sinnvolle kopieren. Ach wenn ich meinen Stern am Freitag abgebe und die Software in der A-Klasse noch gefühlten Beta Staus hat (ist im A35 schon besser als im ersten A250, aber immer noch viele Probleme drin), so ist die neue und aktuelle Mercedes App echt schön und sehe umfangreich aufgebaut. Also BMW, da geht doch deutlich mehr!!! Die Autos können es ja auch deutlich besser, als mancher Stern. 😉👍🏻",my-bmw,1519034860,"{'id': 24574664, 'body': 'Hi! Danke für Dein Feedback! Wir, das My BMW App Team, nehmen Dein Anliegen sehr ernst und möchten Deinem Wunsch nachkommen, in einem der nächsten Releases eine My BMW Apple Watch App anzubieten. Dein Feedback ist dabei extrem wertvoll für uns, um die My BMW Apple Watch App nach Deinen persönlichen Bedürfnissen zu gestalten. Werde Teil der My BMW Apple Watch App Entwicklung, indem Du uns Deine Funktionswünsche in unserer kurzen Umfrage mitteilst. Klicke hier, um loszulegen: https://bit.ly/3fY0Mez. – My BMW App Support Team', 'modified': '2021-08-18T09:33:18Z'}"
mklprivat,5,2020-07-29 03:56:52,False,Das ging nach Hinten los!,"Leider schlechter als der Vorgänger. Die beiden Bilder des Fahrzeugs (speziell unten) sind abgeschnitten. Es fehlt allgemein an Farbe. Händler- und Favoriten Speicher funktioniert nicht. In der Kartenansicht wird das Fahrzeug falsch (falsche Fahrtrichtung) angezeigt. Mir wurde sogar ein offener Kofferraum angezeigt, was nicht stimmte. Weniger Funktionen und die funktionieren nicht richtig. Einfach ein schlechter Start, es wird hoffentlich schnell nachgebessert.",my-bmw,1519034860,
TL0876,4,2021-08-30 14:17:29,False,Etwas fehlt,"Im Großen und Ganzen ist eine gelungene und übersichtliche Ap die bisher auch einwandfrei funktioniert. Allerdings fehlt mir im Vergleich zum Vorgänger eine ganz entscheidende Funktion die ich und bestimmt auch viele andere häufig genutzt haben. Die eDrive Funktion…Informationen zur letzten Fahrt wie Stromverbrauch, Benzinverbrauch und Bewertung des Fahrstils. Ich hätte an Stelle der Entwickler diese Funktion sogar noch ausgebaut mit Informationen bezogen auf die Gesamtlaufleistung wie z.Bsp. Stromverbrauch gesamt, bisherige Benzineinsparung oder Prozentualer Anteil der elektrischen Fahrten…da gibt es so viele Möglichkeiten. Da ich bereits in mehreren Bewertungen diesen Kritikpunkt gelesen habe, hoffe ich das dies noch einmal nachgesteuert wird. Sonst wären es übrigens 5 Sterne.",my-bmw,1519034860,"{'id': 24961087, 'body': ""Hi 'TL0876'! Danke für Dein ausführliches Feedback! Wir leiten Deine Anregungen zu weiteren eDrive Funktionen an unser Produktteam weiter. - My BMW App Support Team\r\n"", 'modified': '2021-09-07T13:23:48Z'}"
Duslan,5,2020-08-11 08:47:29,False,Endlich aufgeräumt!,"Die alte Connected App finde ich auch nicht schlecht, allerdings war das Design und Bedienung teilweise ganz schön chaotisch. Die myBMW App sieht auf jeden Fall cooler aus, ich hoffe sie funktioniert auch b Mir fehlen in der Version noch ein paar eMobility Features (bin i3 Fahrer) aber mal sehen was die nächste Zeit kommt. In Summe gerade noch 5 Sterne! 👍",my-bmw,1519034860,
nmbr32,5,2021-07-12 19:49:07,False,"Geile App, geiles Auto.","Mit dem Wechsel von Audi zu BMW habe ich im Vergleich zu meinen S4, RS4, RS6 Modellen nicht nur Auto sondern auch APP getauscht. Überrascht bin ich von BMW nicht nur von dem Unterschied was Sportlichkeit und Fahrspass zu Audi angeht sondern auch dass es möglich ist eine funktionale APP seinen Kunden zur Verfügung zu stellen. Alle Achtung und Hut ab, ich war all die Jahre ein Fan der „vier Ringe“ aber das hat sich jetzt in allen Belangen gedreht. Ich vermisse nicht mal Quattro (kommt vllt. noch im Winter) :-)! Danke für so ein tolles Auto, alles ist wirklich super geworden bei Eurem neuen M4 Competition. Ihr habt mich wirklich überzeugt. Das einzige was man vermisst ist 8 Zylinder Motorgeräusche und satten Sound aus dem Auspuff aber auch hier habt Ihr es um Welten besser gemacht als Audi. Was man alles rausholen kann - wenn man es richtig macht - aus 6 Zylindern und jeder Menge Kat/OPF‘s … echt Mega. Das musste jetzt sein, auch wenn es um die APP geht. Ach ja, ich liebe diese APP 👍",my-bmw,1519034860,
QuickNix,5,2020-07-28 19:16:37,False,Großer Schritt,Sehr übersichtlich und frisch gestaltet. Funktionen funktionieren alle einwandfrei,my-bmw,1519034860,
Chycsal,5,2022-06-09 19:10:21,False,Funktioniert alles wie heutzutage erwartet,"Vielleicht ein wenig überfrachtet mit BMW Werbung für andere Modelle und Services aber das stört die Kernfunktionen nicht. 

Schön wäre noch, wenn ein Fahrtenbuch existieren würde, für Dienstwagen. 

Weiterhin wäre eine Anzeige des Verbrauchs pro Trip sehr praktisch, besonders für die Hybridmodelle, so dass man zu jedem Ladevorgang sieht, was man während der Fahrt an Energie verbraucht hat, das was dann nachgeladen wurde und die Ladeverluste sowie den State of Charge verglichen mit Neuzustand wegen der Batteriealterung.  iPhone like also.",my-bmw,1519034860,"{'id': 30328727, 'body': ""Hi 'Chycsal'! Danke für Dein ausführliches Feedback! Wir arbeiten stetig an einer Verbesserung der My BMW App und geben Deine Anregungen an unser Produktteam weiter.- My BMW App Support Team\r\n"", 'modified': '2022-06-13T12:40:16Z'}"
koponet,5,2021-11-17 09:25:08,False,"Die App ist toll, nur…","…die Funktion Digital Key ist zwischen Autonubd iPhone noch eine Katastrophe. Oft erst nach minutenlangen bewegen de Telefons ganz nah am Türgriff des Autos treffen sich mal der Digital Key und der Sensor des Autos und öffnen die Tür. An einer Tankstelle eine Katastrophe unter den Blicken des wartenden Nachfolgers die Hightech Features zum Funktionieren zu bekommen.
Inzwischen öffne ich das Auto in der Regel über die Mobilfunk Verbindung zwischen App und Fahrzeug, das geht in 90 % aller Fälle deutlich schneller.",my-bmw,1519034860,
Ulmaxx,5,2021-03-31 19:27:10,True,Die App soll ja.....,"früher oder später die ConnectDrive – App ersetzen. Das Potenzial hat sie dazu. Die Funktionen sind im Grunde genommen genau die selben, wie in der alten App. Über das Design kann man streiten. Was meines Erachtens aber gar nicht geht, ist der Mischmasch zwischen deutscher und englischer Sprache. Entweder alles deutsch oder alles Englisch. Alles andere sieht unfertig aus. 

UPDATE: zwischenzeitlich ist die Sprache einheitlich und ich bin rundherum zufrieden, daher auch fünf Sterne",my-bmw,1519034860,"{'id': 21974844, 'body': 'Hi \'Ulmaxx\'! Danke für Dein Feedback! Wir bedauern, dass Du aktuell in der My BMW App einige Informationen in Englisch siehst. Wenn Du die Region in den Einstellungen Deines Smartphones im Menü ""Einstellungen"" - ""Allgemein"" - ""Sprache & Region"" - ""Region"" einmalig änderst und anschließend wieder die Region „Deutschland“ speicherst, sollten alle Texte der My BMW App wieder in Deutsch zu sehen sein.  - My BMW App Support Team ', 'modified': '2021-03-31T19:27:11Z'}"
Graumanni,5,2021-07-14 09:27:21,False,Sehr gut,Sehr übersichtlich man hat alles sofort im Blick,my-bmw,1519034860,
Tarzan2008,5,2021-03-30 06:38:47,True,Schönes Design und immer mehr Funktionen.,Sieht mittlerweile richtig gut aus und funktioniert auch sehr gut.,my-bmw,1519034860,"{'id': 21932416, 'body': 'Mit der Version 1.3.2. der My BMW App ist nun auch ein Klimatimer für BMW Fahrzeuge mit Verbrennungsmotor verfügbar, mit dem Du Zeitpunkte festlegen kannst, zu denen Dein BMW für die Fahrt vorklimatisiert oder -geheizt werden soll. Je nach Land, Modell, Produktionsdatum, Softwarestand und gebuchten Sonderausstattungen ist für Deinen BMW anstelle des ""Klimatimer"" ein ""Belüftungs-/Heiztimer"" verfügbar.\r', 'modified': '2021-03-30T06:38:47Z'}"
Deflex,5,2021-01-27 07:56:33,False,"Gutes Update, aber etwas fehlt...","Das neue Gesicht, die neue Bedienung gefallen mir sehr gut. Mir fehlt jedoch die Funktion die Belüftung/Standheizung zu einem Abfahrtszeitpunkt geplant zu starten. 

Daher nutze ich doch hauptsächlich die alte App 🤷🏻‍♂️",my-bmw,1519034860,
DeepBlue-Chris,5,2021-12-23 14:59:08,False,Insgesamt sehr zufrieden,"Aber warum wird der Ladevorgang, dessen Fortschritt ich vorhin noch online verfolgen konnte, nicht beim Beenden gespeichert? Allerdings ist das jetzt bei 132 Ladevorgängen erst zweimal passiert, dennoch trübt es die Statistik. Klasse auch, dass man Ort, Kilometerstand und die genaue Zeit des Ladevorgangs im Logbuch findet. Jetzt würde ich mir nur noch wünschen, dass der 330e PHEV beim Laden nicht auf 3.5-3.6 kW begrenzt wäre. So dauert das Laden der 12.5 kWh bis zu 3.5 Stunden, und manche Ladestationen verlangen Standgeld. Dann wird das Laden so teuer, dass man lieber auf Benzin weiterfährt.",my-bmw,1519034860,
i3s-Nick,5,2021-03-13 19:39:11,False,"Schicke Hülle, leider fehlen die Verbrauchswerte aus der alten App","Schade, dass die Verbrauchswerte nicht angezeigt werden",my-bmw,1519034860,
DoneBMW,5,2020-07-28 19:12:11,False,Design ist gut - Manche Funktionen fehlen noch,"Positiv: Design und bedienung sind sehr gut.
Negativ: Beim I3 fehlt die Rubrik edrive - hab ich täglich genutzt, bitte nachbessern!",my-bmw,1519034860,
Ebi_f,5,2021-11-02 21:12:33,False,Gute praktische Funktionen,Die App ist übersichtlich und bietet viel Information zum Auto.,my-bmw,1519034860,
Romina Ravenclaw,4,2021-05-23 15:12:28,False,Funktioniert tadellos mit 116d Bj2018,"Hallo, die erste App hatte ich nicht drauf. Kann daher nicht beurteilen ob diese besser war. Zur dieser App kann ich sagen das alles bisher funktioniert. Zielübertragung, Wartung, Termine und so weiter. Was mir nicht gefällt ist das man nur BMW Händler eintragen kann. Da die Leute dort von Ihrem eigenen Produkt keine Ahnung haben und auch Dinge angeblich getauscht wurden und es aber nicht so war, möchte ich eine Bosch Werkstatt zum Beispiel eintragen. Sonst kann ich das ganze Gemecker hier nicht nachvollziehen. 1. Eine AdBlue Anzeige fehlt mir allerdings auch. 2. Ein Hinweis zu Rückrufaktionen jeglicher Art zu seinem Fahrzeug wäre auch ein nettes Feature.",my-bmw,1519034860,"{'id': 23068361, 'body': 'Hi Romina! Danke für Dein ausführliches Feedback! Die My BMW App ist optimiert für Fahrzeuge ab Baujahr 07/2016, die über die technische Ausstattung verfügen, Daten zum Fahrzeugstatus über die verbaute SIM-Karte mit der My BMW App auszutauschen. Falls diese Voraussetzungen erfüllt sind, erhältst Du bei Servicebedarf oder Rückrufaktionen eine entsprechende Statusmeldung im Tab ""Fahrzeug"" anstelle von „ALLES OK“ . Deine Anregungen leiten wir an unser Produktteam weiter. - My BMW App Support Team\r', 'modified': '2021-05-28T13:28:18Z'}"
Mo3x,5,2020-10-21 10:46:56,False,Sieht gut aus,"Auf den ersten Blick ist alles vorhanden, was ich bisher auch verwendet habe, wie Reichweite (Strom + Benzin), Kilometerstand, Standheizung, Fahrzeugsuche, Ziele an das Fahrzeug senden, etc.
Wie gut alles funktioniert wird sich dann noch herausstellen. Bei der alten App hing es bei mir auch weniger an den verfügbaren Funktionen als an der Kommunikation der App mit dem Fahrzeug. 
BMW 330e",my-bmw,1519034860,"{'id': 18666398, 'body': 'Hallo \'Mo3x\'! Danke für Dein Feedback. Hast Du schon das neue Features ""Laden & Klimatisieren"" entdeckt, mit dem Du Abfahrtszeiten einstellen kannst, zu denen Dein BMW 330e geladen und/oder klimatisiert wird? Und in ""Ladehistorie"" kannst Du neu für nicht-öffentliche Ladestandorte einen Energietarif speichern. - My BMW App Support Team\r\n', 'modified': '2020-10-23T14:14:39Z'}"
