developerResponse,review,rating,isEdited,title,date,userName,app_name,app_id
"{'id': 28233682, 'body': 'Guten Tag Jockeljö,\r\n\nbezüglich des Problems mit der fehlerhaften Anleitung - wir haben das Problem mit dem neuen Update behoben und haben folgende Lösung für Sie: Bitte löschen Sie die Anleitung zunächst über Konto -> Einstellungen -> Anleitung -> Tippen auf den Mülleimer. Danach tippen Sie bitte im Homescreen auf Ihr Fahrzeug -> Anleitung -> Herunterladen. Nun sollte der Fehler behoben sein. \n\nViele Grüße, \nIhr Porsche Contact Team', 'modified': '2022-02-24T10:21:44Z'}","Die Bedienung ist wie bei jeder neuen App erstmal ungewohnt, aber nach kurzer Nutzungszeit gut verständlich. Wie in den vielen anderen Kommentaren bereits erwähnt fehlen leider (noch?!) viele Funktionen. Auch die Fahrzeuganleitung wird bei mir nach dem Download nicht angezeigt. Wenn die Funktionen nachgeliefert werden und die Fehler behoben sind, gibt es auch die vollen Sterne von mir.",3,False,Ausbaufähig,2022-02-08 21:23:36,Jockeljö,my-porsche,1559529059
"{'id': 27631690, 'body': 'Guten Tag Adrian71K,\xa0\n\nvielen Dank für Ihr Feedback. Wir freuen uns sehr zu hören, dass Sie unsere App nun ohne Komplikationen nutzen können und, dass sie Ihnen gefällt. Wir arbeiten weiterhin an Verbesserungen und fügen regelmäßig neue Funktionen hinzu.\xa0\n\nIhr Porsche Contact Team', 'modified': '2022-01-24T19:46:00Z'}","Guter Aufbau und Design und schnelle Verarbeitung. Leider werden aktive Connect Dienste nicht erkannt, somit App nicht brauchbar! Habe zwei aktive Fahrzeuge und bei beiden sind die Connect Informationen nicht abrufbar.

Nach anfänglichen Startschwierigkeiten funktionieren beide Fahrzeugverbindungen einwandfrei. Mit gefällt der Aufbau der App sehr und die App ist sehr einfach und intuitiv zu bedienen!",5,True,Gute App,2022-01-24 19:46:00,Adrian71K,my-porsche,1559529059
"{'id': 27832474, 'body': 'Guten Tag Ju_LI_an!, \r\n\r\nvielen Dank für Ihre ausführliche Nachricht, wir schätzen sehr, dass Sie sich die Zeit dafür genommen haben. Wir arbeiten kontinuierlich an der Verbesserung und Weiterentwicklung unserer App und bald werden neue Funktionen hinzu kommen. Kleiner Teaser: Viele Charging-Funktionen für den Taycan werden bald verfügbar sein - bitte haben Sie noch ein klein wenig Geduld. Dennoch sind Timerfunktionen bereits verfügbar, diese können Sie unter ""Fahrzeug"" --> ""Details"" --> ""Funktionen"" aufrufen. \r\nVielen Dank für Ihr Angebot zur Bereitstellung von Use Cases. Wir freuen uns immer über Feedback und Erfahrungswerte, um unsere Produkte bestmöglich auf die Bedürfnisse unserer Kunden zuzuschneiden. Bei Interesse schicken Sie uns bitte eine E-Mail an smartmobility@de.porsche.com, damit wir persönlich mit Ihnen in Kontakt treten können.\r\n\r\nViele Grüße\r\nIhr Porsche Contact Team', 'modified': '2022-02-03T15:59:26Z'}","Liebes Porsche-Team,

ich hoffe das ließt jemand vom Entwickler Team. Es fehlen viele Funktionen aus der Connect App (Timerfunktion, Valet, usw.) Gerade die digitalen Schnittstellen würden das Laden mit dem Taycan leichter machen. Es fehlt aber eine vernünftige Routenplanung mit Priorisierung von Ladeanbietern wie IONITY. Auch ein abspeichern einer Route inklusive Zwischenziele ist nicht möglich. Solch eine Funktion wäre wiederum essenziell nützlich für jemanden der seine Route inklusive Ladepunkte planen möchte, nach dem der Range Manager und die AI dies leider noch nicht gut hinbekommt. Die Preisübersicht des Porsche Charging Service ist überhaupt nicht vorhanden und in der Connect App super unübersichtlich (Preis/kWh + min/Preis), demzufolge hat nicht einmal die Service Hotline mehr einen Überblick hierzu. Die Funktion der Rechnungshistorie ist auch nicht mehr vorhanden (und war/ist in der Connect ebenfalls unübersichtlich — es fehlen sogar die geladenen kW Stunden). Digitalisierung / Smarte Routenplanung und Connectivity sieht anders aus. Ich weiß nicht inwiefern das möglich ist, aber wenn aus dem Team sich jemand mehr Use Cases aus der Praxis wünscht, darf er sich gerne bei mir melden! Es ist als konstitutive Kritik gemeint. Auto ist super ❤️",1,False,Help! 😱,2022-01-24 19:25:30,Ju_LI_an!,my-porsche,1559529059
"{'id': 27585403, 'body': 'Guten Tag Roy McC,\xa0\nvielen Dank für Ihr Feedback und die positive Bewertung! Es freut uns sehr zu hören, dass Ihnen unsere App gefällt. Wir arbeiten kontinuierlich daran, Verbesserungen vorzunehmen und Sie können gespannt sein: Bald werden weitere Features hinzugefügt!\xa0\nIhr Porsche Contact Team ', 'modified': '2022-01-21T15:23:55Z'}","Was Gestaltung und Übersichtlichkeit betrifft, eine ganz klare Verbesserung im Vergleich zu den vorherigen Apps! Viele Funktionen fehlen aktuell allerdings noch. Hoffentlich kommt hier bald noch mehr.",5,False,Sehr guter Ansatz mit Luft nach oben,2022-01-15 20:00:57,Roy McC,my-porsche,1559529059
"{'id': 27583468, 'body': 'Guten Tag Valentin011993, \n\nvielen Dank für Ihr Feedback. Wir entschuldigen uns für die Unannehmlichkeiten, die zum Release der App aufgetreten sind. Umso mehr freut es uns, dass Ihnen die My Porsche App und insbesondere das Design gefällt. Wir arbeiten kontinuierlich an der Verbesserung unserer App und Sie können gespannt sein - schon bald kommen weitere Funktionen hinzu! \n\nIhr Porsche Contact Team', 'modified': '2022-01-21T13:49:36Z'}","Schön, dass Porsche endlich die zahlreichen Apps in einer neuen App mit einem zeitgenmässem Design zusamenfasst! Ich bin gespannt auf weitere Updates mit neuen Funktionen und sehe viel Potential, da manche Funktionen noch fehlen. 

Nach den Startschwierigkeiten funktioniert die Fahrzeugverbindung zu unserem Macan nun einwandfrei - und das in einer viel schöneren Optik als in der doch sehr angestaubten Car Connect App. Weiter so! 💪🏼",4,False,App mit Potenzial 👌🏼😊,2022-01-14 19:28:15,FIREinvest9x,my-porsche,1559529059
"{'id': 27993575, 'body': 'Guten Tag Oli001,\r\n\nvielen Dank für Ihre aktualisierte Bewertung - es freut uns sehr, dass Sie sich Zeit dafür genommen haben. Wir arbeiten kontinuierlich an Verbesserungen unserer App. Kleiner Tipp: Unsere Empfehlungen auf der Startseite können Sie ausblenden, indem Sie rechts auf den Pfeil klicken.\r\n\nViele Grüße\r\nIhr Porsche Contact Team', 'modified': '2022-02-11T15:16:50Z'}",Nachdem nun wohl alle Fehler vom Anfang behoben wurden geht sie nun auch bei mir. Zurück bleibt Zuviel Werbung und langsam beim Verbindungsaufbau zum Auto.,4,False,Gut,2022-02-04 06:28:42,Oli001,my-porsche,1559529059
"{'id': 28064367, 'body': 'Guten Tag Lucir2,\r\n\nvielen Dank für Ihr positives Feedback. Wir freuen uns sehr zu hören, dass Ihnen unsere App gefällt. Wir arbeiten kontinuierlich an Verbesserungen sowie neuen Funktionen. Und Sie können gespannt sein -schon bald werden auch weitere Charging-Features verfügbar sein!\r\n\nViele Grüße\r\nIhr Porsche Contact Team\r\n', 'modified': '2022-02-15T14:51:47Z'}",Die App ist optisch wirklich sehr gelungen und einfach zu bedienen. Ich freue mich schon auf weitere Funktionen und hoffe dass der Charging Planner und weitere Ladeinformationen hinzugefügt werden.,5,False,Große Verbesserung,2022-02-07 12:58:34,Lucir2,my-porsche,1559529059
"{'id': 27585436, 'body': 'Guten Tag Michael M.55,\xa0\nvielen Dank für Ihr Feedback. Wir freuen uns sehr darüber, dass Ihnen unsere App gefällt.\nIhr Porsche Contact Team', 'modified': '2022-01-21T15:25:41Z'}","muss die alte App behalten, da offensichtlich vergessen wurde, einen Timer einzubauen. Schade…. oder hab ich da etwas übersehen? Ja, ich hatte es übersehen…. war aber auch gut versteckt.",5,False,Standheizung Timer fehlt,2022-01-17 08:39:50,Michael M.55,my-porsche,1559529059
"{'id': 26873262, 'body': 'Sehr geehrter Morenkopf2012,\nvielen Dank für Ihr Feedback. Das von Ihnen genannte Problem ist uns bekannt und wir arbeiten schnellstmöglich an einer Verbesserung! Ihr Porsche Contact Team', 'modified': '2021-12-16T12:18:43Z'}",Die aktuelle Version hat nun leider Logout Probleme nach einigen Tagen. Es ist dringend zu beheben das sich die App abmeldet und Ihre Session verliert. Jedes Mal anmelden weil man seine Vorklimatisierung starten möchte ist schon nicht sonderlich schön bei einem eng besessenen Zeitbudget was ich zur Verfügung habe. - Come on Porsche - da geht noch einiges an Verbesserungen.,3,False,Logout Probleme nach einigen Tagen!,2021-12-13 18:56:15,MORENKOPF2012,my-porsche,1559529059
"{'id': 27444381, 'body': 'Guten Tag Porscheshovel, \nvielen Dank für Ihr positives Feedback! Ihren Pairing-Code finden Sie in der My Porsche App unter ""Konto"" -> ""Meine Garage"" -> Tippen auf Ihr Fahrzeug. Der Code wird Ihnen unter der Fahrzeugidentifikationsnummer (FIN) angezeigt. \nBitte teilen Sie uns über eine aktualisierte Bewertung mit, ob Ihnen der Pairing-Code über diesen Weg angezeigt wird. Sollte das Problem weiterhin bestehen, senden Sie bitte eine Mail mit detaillierter Beschreibung Ihres Anliegens (z.B. Porsche ID, App Version, Fehler) an smartmobility@de.porsche.com. \nIhr Porsche Contact Team', 'modified': '2022-01-15T13:18:02Z'}","Auf jedenfall eine Verbesserung. Geht alles viel schneller und flüssiger. Ich sehe aber meinen Pairing-Code nicht mehr. In der alten App wird der Code angezeigt. Soll das so sein?

Update!
Danke für den Hinweis. Wird dort tatsächlich Angezeigt. Perfekt!!",4,True,Viel Schneller !,2022-01-15 13:18:02,Porscheshovel,my-porsche,1559529059
