review,isEdited,userName,rating,date,title,developerResponse,app_name,app_id
"Seit Update keine automatische Verbindung, schlimmer noch: beim einlegen in die Phonebox verliert die App die Verbindung zum MMI connect ... und verbindet sich wieder, wenn man es heraus nimmt...  die Antwort der Kundenbetreuung auf dieses Problem allerdings war schon unverschämt: alle Verbindungen zurücksetzen, neu verbinden, und sollte es nicht klappen, müsse man akzeptieren, das es nicht mit jedem Telefon geht. (Der Handytyp war im Fehler angegeben und wird von Audi dafür offiziell unterstützt ...)... bitte zeitnah ein Update

Aktualisierung: der oben beschriebene Fehler (iPhone) lässt sich beheben: Einstellung->myAudi->Standort auf immer setzen. Keine Ahnung, was das mit induktivem Laden zu tun hat, aber dann funktioniert die App samt Audi Connect, Amazon Music usw. einwandfrei. Einen Punkt Abzug gibt es, weil die Hotline diese Lösung nicht anbieten konnte. Danke ans Forum",False,sheppard 007,4,2019-02-08 09:07:12,Besser als gedacht - Update Bewertung,"{'id': 8260332, 'body': 'Hallo sheppard 007,\nvielen Dank für Ihr Feedback! Es tut uns leid, dass unser Kundenservice nicht die richtige Lösung für Ihr Problem nennen konnte. Zum Glück konnten Sie die Lösung in der Zwischenzeit selbst herausfinden.\nWir würden uns dennoch freuen, wenn Sie sich bei zukünftigen Problemen an unseren Kundenservice unter 0800 - 28 347 378 423 oder kundenbetreuung@audi.de wenden würden. Grüße aus Ingolstadt! Ihr Audi Deutschland Team', 'modified': '2019-04-17T12:55:41Z'}",myaudi,440464115
"Aktuell funktioniert die App tadellos. Ich hoffe, nur es bleibt so. In der Vergangenheit gab es immer wieder Kommunikationsprobleme. Der Support gab dann den Hinweis sich neu anzumelden, was aber auch extrem lästig ist. Wenn ich z. B. die Standheizung starten will, will ich mich nicht erst noch um das Passwort kümmern wollen. Das passiert z.B. nach einem Update der App (vom notwendigen Neustart der iWatch/Neuladen der iWatch-App ganz zu schweigen). Also - das Ganze braucht noch mehr Stabilität. 

Was auch lästig ist, ist die Übernahme von Zielen, die in der App gesucht wurden, im Fahrzeug. Da werden nach dem Starten zunächst Zugangsberechtigungen und Lizenzen geprüft, was in 50% der Fälle beim ersten Mal schief geht. Die Funktion ist eine tolle Idee, weil die Eingabe der Ziele im Auto sehr fummelig ist (Handschrifterkennung!). Aber ich will losfahren, und nicht erst 5 Minuten mit dem Navigationsgerät spielen. Das muß noch viel geschmeidiger und zuverlässiger werden (Das das alles nicht so einfach ist, ist mir bewusst; in der Kette sind viele Komponenten beteiligt).",False,jenshuettenberg,5,2020-01-24 06:59:55,Super App!,"{'id': 13164597, 'body': 'Hallo jenshuettenberg,\nvielen Dank für Ihre positive Bewertung und vor allem für Ihre konstruktive Kritik!\nWir sind uns bewusst, dass vor allem bezüglich der Stabilität der Server noch Luft nach oben ist und arbeiten bereits an Maßnahmen, um dies zu verbessern.\nSollten Sie weitere Anmerkungen oder Fragen haben, können Sie sich gerne wieder an uns wenden unter unter 0800 - 28 347 378 423 oder kundenbetreuung@audi.de. Grüße aus Ingolstadt! Ihr Audi Deutschland Team', 'modified': '2020-01-28T17:12:20Z'}",myaudi,440464115
"Vom Funktionsumfang ist die App noch immer etwas eingeschränkter als ihr Vorgänger, so kann man zum Beispiel Timer für die Standklimatisierung immer nur für den nächsten Tag festlegen aber nicht für eine ganze Woche. Das wäre aber noch hin zu nehmen, wenn man dann schnell reagieren würde wenn es mal zu Fehlern kommt. So konnte ich mich jetzt zwei Tage nicht einloggen mit Netzwerkfehler und als es dann wieder ging war ich plötzlich nicht mehr Hauptnutzer des Vertrages und sollte mich neu festlegen lasse. Vom Mail- und Telefonsupport auf den man dann verwiesen wird habe ich bisher auch noch nie eine schnelle Lösung erhalten.",False,Vochel,5,2019-10-31 09:50:24,Funktional mit Fehlern,,myaudi,440464115
"Die myAudi App ist zwar ein guter Nachfolger der MMI Connect App mit tollem Design, allerdings bietet sie manche Funktionen, welche die alte App hatte.
Zum einen bietet sie mir nicht mehr das Online Radio. Dieses war ein grandioses Feature, um seinen Lieblingssender auch weit weg von zuhause zu hören.
Des Weiteren gab es für die alte App auch eine Apple Watch App, die zwar keine wirkliche Funktion hatte. Ich würde mich sehr freuen, wenn man das Online Radio wieder integrieren würde, und vor allem eine Apple Watch App für die myAudi App, welche auch zur Fernsteuerung der Klimatisierung etc. genutzt werden kann.
Ich benutze die myAudi App zusammen mit meinem Audi A3 e-tron (Baujahr 2016).",False,Robert Kemna,5,2018-12-09 20:37:39,"Gute App, allerdings mit Macken","{'id': 6444495, 'body': 'Hallo Robert, vielen Dank für Ihr Feedback. Webradio funktioniert weiterhin über OnlineMedien. Um Radiosender abzuspielen bietet der Anbieter radio.de eine eigene App an. Eine Apple Watch App bieten wir zurzeit noch nicht an, diese ist aber in einer späteren Version vorgesehen. Bitte wenden Sie sich an die Audi Kundenbetreuung unter 0800 - 28 347 378 423 oder unter kundenbetreuung@audi.de, falls Sie Ihre Funktionen aus der Audi MMI connect App nicht in der myAudi App finden können oder sonstige Hilfe benötigen. Bitte beziehen Sie sich auf diese Rezension. Beste Grüße aus Ingolstadt, Ihr Audi Deutschland Team', 'modified': '2018-12-18T14:43:46Z'}",myaudi,440464115
"Die App funktioniert soweit ganz gut und ich bin fast zufrieden. Was einige Nutzer schreiben, dass das Öffnen & Schließen per App etwas dauert ist ganz normal, wenn man an die Wege der Signale denkt. Das Handy spricht nicht direkt mit dem Auto sondern es geht über Handy & Auto Daten. Das klappt innerhalb von Max 40 Sek bei mir immer. Was ich mir von den Programmierern - viele sehr viele andere Nutzer auch - wünsche ist die Umsetzung des Connect Schlüssels via IPhone. Seit dem letzten iOS wurde die NFC Schnittstelle weiter freigegeben und ich hoffe, dass die Implementierung in die App möglich ist und auch umgesetzt wird. Das würde 5 Sterne bringen. Ansonsten ist die App soweit sehr übersichtlich und gut gestaltet. Hoffe das Apple / Audi Problem wird bald gelöst.",False,FirstJerry,4,2019-10-08 20:26:46,iOS Audi Connect Schlüssel,,myaudi,440464115
Habe den Audi und die App seit 3 Wochen. App ist gut aufgebaut und bietet die wichtigsten Funktionen (z.B. Status laufender Ladevorgänge oder das Übermitteln von Routen an das Auto). Die Verbindung zum Auto funktioniert nicht immer. Es kommt öfters die Meldung Fahrzeug nicht erreichbar oder Server antwortet nicht. Hatte ich vor allem am Anfang. In letzter Zeit ziemlich stabil.,True,ITIL Expert,4,2020-01-26 23:41:23,Funktioniert überwiegend. Häufig geht die Verbindung zum Auto nicht.,"{'id': 9338444, 'body': 'Hallo ITIL Expert,\nvielen Dank für Ihr Feedback!\nEs freut uns, dass Sie zufrieden sind mit der App und werden auch weiterhin an der Stabilität dieser arbeiten.\nWeitere Fragen beantworten wir gerne unter 0800 - 28 347 378 423 oder kundenbetreuung@audi.de. Grüße aus Ingolstadt! Ihr Audi Deutschland Team', 'modified': '2020-01-26T23:41:23Z'}",myaudi,440464115
"Als Audi e-tron Besitzer bin ich vor allem jetzt im Winter (Standheizung) auf die App angewiesen. Tatsächlich schafft es die App nun seit einigen Wochen sich nicht mehr mit dem Wagen zu verbinden um den Status zu aktualisieren bzw. andere Services (z.B. Standheizung) zu aktivieren. Ich bin kein Einzelfall und bei einem Wagen in der Preisklasse ist dies über einen solchen Zeitraum nicht akzeptabel. Auch gibt es von Audi keine proaktive Kommunikation zu diesem Problem und die Hotline war auch keine Hilfe. Wirklich schwach von einem Konzern der in der oberen Preisklasse mitspielt, aber die digitalen IT Prozesse e2e nicht im Griff hat.",False,Soulspot,5,2019-11-17 16:31:01,Seit einigen Wochen nicht nutzbar,,myaudi,440464115
"Nagelneuer E-tron55. Software my Audi App neu installiert. Vorher schon mit Q5 genutzt.
Aber die App funktioniert nur teilweise. Sie zeigt zwar km und Ladestand an. Auch den Standort. Aber Türen öffnen oder schließen? Geht nicht! Ab und an Fehlermeldung dass Tür/Fenster offen...stimmt aber nicht.
Standklimatisierung programmieren? Funktioniert nicht-Fahrzeug nicht erreichbar. 
Sowas muss dich getestet auf den Markt kommen...erst recht bei Autos im 6stelligen Preis. Ich bin nicht zufrieden.",False,scfranky,5,2020-08-23 19:09:43,Audi und Software? Das funktioniert nicht!,,myaudi,440464115
"Beim Anmelden bekomme ich oben ein Banner, das mir sagt, dass ich mich nur anmelden darf, wenn ich „Angemeldet bleiben“ aktiviere. What? Warum gibt es den Switch dann überhaupt, wenn ich gar keine Wahl habe, als ihn zu aktivieren? 
Warum muss ich denn meinen Audi Partner kontaktieren, um mich als den Besitzer meines gemappten Autos eintragen zu lassen? Warum kann ich das nicht selbst machen? Fahrgestellnummer eingeben, generierte PIN an die HeadUnit schicken, die ich in der App eingeben muss...warum so kompliziert mit Aktivierung über den Händler?
Des Weiteren sind unter „Fahrzeugverbindungen“ für den Screen Location Services wohl keine deutschen Texte hinterlegt. Der Screen besteht ausschließlich aus den StringIds, z.B. services_title_location, oder services_detail_screen_location_description. Ich hoffe, dass ist den Leuten, die das Release der App gepusht haben, und keine Zeit (oder Budget) für eine ordentliche QA gelassen haben, mal so richtig peinlich. Lasst den Entwicklern mal Zeit so grundlegende Bugs zu fixen! Ich hätte lieber ein stabile und vernünftige App und nicht alle 6 Monate das nächste super geile neues Feature, dass ich mit meinem Audi von 2015 eh nicht benutzen kann, dass aber voller UX flaws und peinlichen Bugs ist.",False,LennyS81,2,2019-02-25 22:11:42,Peinliche Fehler in der App,"{'id': 8258723, 'body': 'Hallo LennyS81,\nvielen Dank für Ihr Feedback! Wir nehmen Feedback immer sehr ernst und geben dieses regelmäßig an unser Entwicklungsteam weiter. \nDer ""Angemeldet bleiben""- Switch wurde mit dem neuesten Update entfernt. Für Fahrzeuge mit Audi connect-Diensten ist eine Verifizierung bereits ohne Händler möglich (Tutorial: https://www.youtube.com/watch?v=S3RbhMGf01k). \nDas Problem mit der Anzeige der String-IDs wurde in unserem Content Management System behoben.\nWeitere Fragen beantworten wir gerne unter 0800 - 28 347 378 423 oder kundenbetreuung@audi.de. Auch freuen wir uns über weitere Anmerkungen. Grüße aus Ingolstadt! Ihr Audi Deutschland Team', 'modified': '2019-04-17T10:48:01Z'}",myaudi,440464115
"An sich ist die App schick und funktioniert gut. Vorklimatisieren etc. klappt eigentlich immer problemlos. Aber das Senden von Zielen aus z.B. Google Maps direkt an das Fahrzeug (nutze ich sehr oft, man muss nicht tippen und kann direkt los) klappt so unzuverlässig, dass man es auch direkt lassen kann. Von meinem Mercedes GLC bin ich 5-10 Sek gewohnt, da hat das immer geklappt. Bei Audi warte ich zwischen 10 Sekunden (wäre ja super) bis idR 5-20 Minuten, also quasi nicht nutzbar. Keine Ahnung warum. Das 100k Auto ist brandneu und der lokale Service weiß auch nicht weiter. Das ist leider ein echter showstopper. 

Wenn Audi das nicht hinbekommt, wird der nächste wohl nicht aus mehr dem VW Konzern. Ist übrigens nicht nur hierauf begründet, sondern auch, weil die Server generell immer wieder mal ausfälle haben (der Händler konnte mir das anhand der Logfiles bestätigen).

Größter Ausfall war mal 1 Woche keine Connect Dienste am Stück (auch keinerlei Stauumfahrung etc.). Da es keinerlei Bewertungsmöglichkeiten dafür gibt, und die App wohl offensichtlich zum Ziel-senden benötigt wird, hoffe ich, dass daran zeitnah entwickelt wird…",False,donald91,2,2021-09-30 14:10:16,Audi Server sind katastrophal,"{'id': 25452942, 'body': 'Lieber Kunde, danke, dass Sie sich die Zeit für Ihre ausführliche Rückmeldung genommen haben. Ihre kritischen Worte haben wir mit großem Interesse gelesen. Wir möchten Sie darüber informieren, dass wir unter den Kontaktdaten unserer Kundenbetreuung eine neue Funktion in Ihrer myAudi App implementiert haben, die Ihnen eventuelle Störungen und Wartungsarbeiten unserer Server anzeigt. Selbstverständlich arbeiten wir kontinuierlich daran, diese Ausfälle zu minimieren und entschuldigen uns für die Ihnen entstandenen Unannehmlichkeiten. Beste Grüße aus Ingolstadt, Ihr Audi Deutschland Team', 'modified': '2021-10-02T13:29:01Z'}",myaudi,440464115
