userName,title,date,isEdited,review,rating,app_name,app_id,developerResponse
Coli90,Bisher keine größeren Probleme,2020-12-05 05:40:12,False,"Die App (auf iPhone SE iOS 14.2) funktioniert mit meinem Golf 8 GTE bisher (2,5 Wochen) im großen und ganzen ganz gut. 
~ App starten und Anmeldung dauert in der Regel 10-14 Sekunden gefüllt etwas lang, aber lässt sich verschmerzen. Neu einloggen musste ich mich bisher einmal. Aus Sicherheitsgründen soweit ich das richtig verstanden hatte.
~ 2-3 Tage lang stand bei den verfügbaren 'Batterie km' eine 0, obwohl die Batterie geladen war. Hat sich aber wieder normalisiert.
~ Funktionen wie klimatisieren, Scheibenheizung starten, Abfahrtszeit usw. konfigurieren oder Ladezustand bzw. Laden starten und beenden funktioniert auch.
- Bei den Fahrzeuginformationen hatte ich bisher fälschlicherweise einmal die Zustände von offenen Fenstern, Türen und Kofferraum angezeigt bekommen. Waren aber alle zu.",4,volkswagen-we-connect,656549103,
Kpte,An sich sehr gut aber...,2020-10-15 17:36:10,False,"An sich ist das echt eine super App. Die ganzen positiven Punkte möchte ich jetzt auch gar nicht erläutern. Viel mehr will ich darauf Hinweisen, dass die App teilweise starke Verbindungsprobleme hat. So wird man manchmal mit der Meldung „Leider konnten die Daten nicht geladen werden.“ überrascht, und somit wird nichts angezeigt.
Wer jetzt denken könnte, dass liegt daran, dass das Fahrzeug oder das Handy kein empfang hat (was ich zuerst auch vermutete) den muss ich vertrösten.
Ich habe zwei verschiedene Fahrzeug und bei beiden traten die Probleme gleichzeitig auf und dies auch an einem anderen Smartphone. Das Problem löst sich dann meist innerhalb von 1-2 Stunde von selbst. Was aber sehr ärgerlich ist, wenn man die zahlreichen Features gerade nutzen möchte (Hab ich das Auto abgeschlossen? / Lädt mein Auto noch?...).
Hier bitte umbedingt nachbessern!",5,volkswagen-we-connect,656549103,"{'id': 18593922, 'body': 'Lieber Kpte, vielen Dank für das ausführliche Feedback und das Interesse an unserer App. Wir werden Deine Vorschläge gerne an unsere Entwickler weitergeben. Wir freuen uns, dich zu unseren Kunden zählen zu können und wünschen weiterhin viel Freude mit den mobilen OnlineDiensten von Volkswagen. Viele Grüße aus Wolfsburg, das We Connect Team.  \n ', 'modified': '2020-10-20T11:04:22Z'}"
Michael Wenzel,IT Konnektivität,2020-01-25 19:02:26,False,"Selbst nach insgesamt 3 1/2 std. Telefonie mit ihrem Haus und mehrmaligem aufsuchen meines Vw Händlers funktioniert nichts annähernd richtig mit ihrem System. Um halbwegs im Auto telefonieren zu können  muß ich das komplette System jedesmal nach dem starten neu laden. Das h., Radioknopf 15 sek. drücken bis es neu startet dann startet das Telefon vielleicht, nachdem ich jedesmal den netzwerkschlüssel neu eingeben muß. 
Ausserdem bekomme ich keinen Zugang mehr zu Vw connect. Es werden mir keine Daten mehr angezeigt. (Tankvorgang usw.)
Kommenden Montag habe ich wieder einen weiteren Termin bei meinem Vw Händler in dieser Sache.
Ich glaube ich werde meiner Frau vom Kauf des ansonsten schönen arteon‘s abraten müssen, da bei mir die Nerven la",5,volkswagen-we-connect,656549103,"{'id': 13180869, 'body': 'Danke für dein Feedback, lieber Michael.\nEs tut uns leid, dass Du so einen Ärger hattest. Solltest Du nach dem Werkstattbesuch weiterhin Fehler feststellen, meld dich noch einmal, damit wir uns das gemeinsam mit dir ansehen können. Liebe Grüße von deinem We Connect Team!', 'modified': '2020-01-29T13:40:21Z'}"
Ralph-1963,Okay und stabil ...allerdings...,2018-05-20 16:57:32,False,"Grundsätzlich macht die App was sie soll. Gegenüber der PC Version vermisse ich die Funktion „Lüften“ bei der Klima/Standheizung.
Zusätzlich frage ich mich warum ich nur angezeigt bekomme ob das Auto auf- bzw. abgeschlossen ist. Bei manchen anderen Autoherstellern ist das möglich.
Ein weiteres Thema ist die Verwendung mit 2 unterschiedliche Handys. Läuft Car-net im Hintergrund bei einem kann sich das andere nicht anmelden, vom PC geht es allerdings immer. Vielleicht gibt es dazu eine Lösung oder zumindest eine Aussagekräftige Fehlermeldung.

Dennoch ist die App gut, und Luft nach oben gibt es ja immer.",4,volkswagen-we-connect,656549103,
Sohns,App tut was sie soll,2017-10-10 12:38:10,False,"Die App läuft bei mir stabil und tut was sie soll. Das ich damit keine Rakete starten lassen kann, war mir vorher klar und daher auch nicht von mir erwartet. Ich weiß nicht welche Anforderungen manche Leute an eine App haben, die der Steuerung der Onlinedienste ihres Fahrzeugs dient. Also lasst mal bitte die Kirche im Dorf und zieht Vergleiche mit Produkten anderer großer Automobilhersteller, deren Innovationsgeschwindigkeit bekannter Weise beschränkt ist.

Ich finde es super Ziele direkt ins Auto zu senden und auch meine Standheizung unabhängig von der Reichweite zu steuern.   Großes Lob auch für die zeitgemäß Umsetzung im Design.",5,volkswagen-we-connect,656549103,
mabi31,manche Dinge kann man besser machen,2020-04-07 17:39:19,False,"Leider sind für mich zwei wichtige Grundfunktionen nicht wirklich umgesetzt.
1. nach iOS Update 13.4 und wichtiger Erweiterung der NFC Kommunikation, geht mit iPhone weiterhin der Diginale Schlüssel weiterhin nicht. Soll später kommen...

2. die Übertragung eines Zieles direkt an das Navi des Fahrzeuges ist nicht möglich. Dadurch ist zwingend die Nutzung von AppleCarplay gesetzt. Damit benötige ich ein teures Extra wie das Discover Pro nicht. Die Funktion konnte sogar der „alte“ VW T6... und das mit einem 2020 VW Passat mit fast Vollausstattung. Schade",5,volkswagen-we-connect,656549103,"{'id': 14588768, 'body': 'Hallo mabi31, wir können dir bezüglich deiner Anfragen Hilfe leisten und lass uns mal auch die Kompatibilität deines Mobiltelefons überprüfen. Ruf uns einfach, unter der Nummer 0800 40 888 00 an, sodass wir dir Informationen geben können. Viele Grüße, dein We Connect Team.', 'modified': '2020-04-10T11:02:31Z'}"
Christian alias Otto,Gut Aber…,2022-03-25 13:45:06,False,"Insgesamt übersichtlich. Nicht sehr umfangreich. 2 Dinge möchte ich ansprechen. Zum einen findet die Adresssuche nicht meine Private Adresse wobei wir dort seit knapp 10 Jahren bereits wohnen. War ein Neubau. Jedoch würde mir etwas viel besser gefallen. Das Navi von VW bzw. die Aufmachung etc. gefällt mir eigentlich sehr gut. Ich würde es gerne nutzen. Aber, nur wenn ich Bluetooth nutze, komme ich an meine Kontakte im Navi und somit an die Adressen. Das ist schlecht. Denn in der Regel nutzt man nicht Bluetooth sondern bspw. CarPlay von Apple. Somit wären meine Kontakte nur mit den dortigen Apps verwendbar. Der Handyapp kann ich doch bereits erlauben auf meine Kontakte zuzugreifen. Und wenn ich in der App eine Adresse suche, kann ich diese auch an das Auto schicken. Die App und Auto synchronisieren sich somit. Wäre es nicht denkbar in der App zusätzlich einstellen zu können, dass die Kontakte auch zur Synchronisierung mit dem Auto herangezogen werden können, so dass ich ohne Bluetooth immerhin mit meinen Kontakten im Navi arbeiten kann!? Das wäre richtig geil und würde einiges erleichtern.",3,volkswagen-we-connect,656549103,"{'id': 28818391, 'body': 'Hallo Christian alias Otto, vielen Dank für Ihr Feedback. Entschuldigen Sie bitte für alle Unannehmlichkeiten! Wir werden Ihren Kommentar an Experten weitergeben, um dieses Problem zu beheben. Übrigens: falls Sie unsere Hilfe brauchen, können Sie uns jederzeit unter weconnect-support@volkswagen.de kontaktieren. Viele Grüße, das We Connect Team. ', 'modified': '2022-03-28T07:17:07Z'}"
Azmodina,Vollkommen unzufrieden...,2020-06-17 18:42:17,False,"... bin ich mit dieser App. Ich lade sie runter, logge mich ein und mir wird alles normal angezeigt - bis auf mein Auto. Dort sehe ich nur eine grau gezeichnete Umrandung eines Autos.
Des Weiteren kann ich mich nicht erneut einloggen wenn mein Handy aus war und erneut eingeschaltet wird. Dann komme ich bei der App nur bis zum Logg-In Bildschirm und nach der Eingabe meines Passwortes wirft mich die App raus mit dem Hinweis, dass etwas schief gelaufen ist und ich es nochmal probieren soll. Fazit: Nach jedem Neustart meines Handys muss ich die App neu installieren... echt nervig und schade, da ich die App eigentlich ganz gut finde...",5,volkswagen-we-connect,656549103,"{'id': 16388346, 'body': 'Lieber Azmodina, vielen Dank für deine Bewertung. Es freut uns zu hören, dass Dir unsere We Connect App einigermaßen gefällt! Um herauszufinden, warum eine reguläre Anmeldung nicht möglich ist, ruf uns bitte unter der +49 800 40 88 00 an. Wir tun unser Bestes, Dir weiterzuhelfen. Wir wünschen Dir weiterhin viel viel Spaß mit Deinem Volkswagen und ein schönes Wochenende! Beste Grüße, Dein We Connect Team.', 'modified': '2020-07-03T14:47:43Z'}"
Caspians_M3,Keine  Verbindung und hilflose Hotline,2021-10-24 10:33:58,True,"Der Nutzen der We Connect App ist ohnehin nicht sehr groß, deshalb hätte ich gerne wenigstens die Romote Funktionen für mein Fahrzeug genutzt. Leider habe ich seit einem Monat scheinbar keine Verbindung mehr zum Fahrzeug, zumindest werden keine Fahrdaten mehr erfasst und es wird ein falscher Status angezeigt. Der einzige Binweis des Service war: Alles Löschen und Lles neu initialisieren. Habe ich gemacht, aber leider ohne jeden Erfolg. 

Ich hoffe es gelingt mir auf diese Weise ein qualifizierteres Feedback zu bekommen.

Auf Initiative des Entwicklers hat sich mittlerweile etwas bewegt: VW hat die Kommunikationseinheit des Golf bei Händler neu flashen lassen. Jetzt funktioniert die App einwandfrei, deshalb 4* und vielen Dank für die Hilfe",4,volkswagen-we-connect,656549103,"{'id': 24550744, 'body': 'Hallo Caspians_M3, um die Ursache Ihres Anliegens näher untersuchen zu können, brauchen wir mehr Informationen. Bitte wenden Sie Sich erneut mit Bezug auf diese Rezension unter weconnect-support@volkswagen.de. Wir tun unser Bestes, Ihnen weiterzuhelfen. Viele Grüße, das We Connect Team. ', 'modified': '2021-10-24T10:33:59Z'}"
elhossos,Sehr übersichtlich und stabil,2021-07-20 11:12:45,False,"Die App tut was Sie soll, ist sehr übersichtlich gestaltet und funktioniert fast immer sehr zuverlässig!",4,volkswagen-we-connect,656549103,"{'id': 24065040, 'body': 'Hallo elhossos, wir möchten uns bei Ihnen für den Kommentar und die positive Bewertung bedanken. Wir wünschen Ihnen weiterhin eine gute Fahrt und viel Spaß bei der Nutzung der Dienste. Viele Grüße, das We Connect Team. ', 'modified': '2021-07-22T08:24:25Z'}"
